antoine_brutus_menier	religion	roman_catholic_church
denys_rayner	cause_of_death	cancer
nietzchka_keene	place_of_death	madison
friedrich_bessel	profession	mathematician
thomas_harrison_1740	profession	engineer
richard_brautigan	profession	novelist
anthony_asquith	location	london
robert_noyce	profession	physicist
ignaz_franz_castelli	profession	dramatist
russell_bufalino	gender	male
mary_de_bohun	nationality	kingdom_of_england
cato_maximilian_guldberg	place_of_death	oslo
gerbrand_adriaensz_bredero	location	amsterdam
jefferson_davis	profession	politician
william_henry_phelps	place_of_death	caracas
roger_atkinson_pryor	nationality	united_states
nobuko_otowa	profession	actor
st_clair_drake	profession	sociologist
tommy_tedesco	nationality	united_states
giovanni_battista_morgagni	profession	anatomist
otto_lilienthal	cause_of_death	airplane_crash
snooky_pryor	place_of_death	cape_girardeau
jiang_tingxi	profession	painter
hans_dreier	location	hollywood
dru_sjodin	location	grand_forks
goto_shimpei	nationality	japan
philip_h_lathrop	profession	cinematographer
antonio_cornejo_polar	nationality	peru
adele_jergens	place_of_birth	brooklyn
jimmie_davis	location	louisiana
joseph_h_bottum	nationality	united_states
miguel_cabrera_1695	location	oaxaca
rajiv_gandhi	cause_of_death	assassination
harrison_gray_otis_1765	nationality	united_states
peter_scheemakers	nationality	united_kingdom
henrich_focke	place_of_death	bremen
charles_henry_driver	nationality	england
francis_biddle	institution	harvard_university
yongzheng_emperor	children	qianlong_emperor
thomas_wentworth_higginson	place_of_birth	cambridge_massachusetts
john_hannah_gordon	profession	judge
william_whewell	profession	scientist
charles_berny_douville	nationality	france
ambrogio_bergognone	nationality	italy
walt_whitman	religion	unitarian_universalism
wallace_pratt	gender	male
rene_clair	gender	male
carl_edvard_rotwitt	profession	politician
friedrich_burklein	nationality	germany
franz_josef_strauss	place_of_death	regensburg
bernard_coleridge_2nd_baron_coleridge	institution	eton_college
joachim_wtewael	nationality	netherlands
anna_e_roosevelt	parents	eleanor_roosevelt
thomas_quellinus	location	copenhagen
louis_couty	nationality	france
gilbert_roland	profession	actor
nikola_vitov_gucetic	gender	male
gil_vicente	nationality	portugal
ralph_engelstad	location	minnesota
arthur_jeffrey_dempster	nationality	united_states
joseph_pinzolo	cause_of_death	murder
mikael_nalbandian	nationality	armenia
thomas_wakefield_blackburn_ii	profession	lyricist
leon_w_johnson	institution	california_institute_of_technology
francois_vincent_raspail	nationality	france
joachim_ernst_von_grumbkow	location	pomerania
dalrymple_maitland	location	liverpool
imagawa_yoshimoto	gender	male
hungry_joe	nationality	united_states
william_gaston_1820	institution	brown_university
amos_w_barber	profession	physician
john_d_new	nationality	united_states
edwin_bud_shrake	profession	screenwriter
jean_pierre_minckelers	place_of_birth	maastricht
annette_richardson_dinwoodey	gender	female
ismail_merchant	nationality	united_kingdom
rene_viviani	gender	male
lucebert	nationality	netherlands
mohammed_daoud_khan	place_of_birth	kabul
alan_king	place_of_birth	new_york
joseph_carlebach	religion	judaism
alexander_brullov	location	saint_petersburg
walter_annenberg	location	long_island
howard_martin_temin	profession	scientist
adolf_loos	nationality	austria
nathan_hale	gender	male
alfred_zwiebel	gender	male
rigas_feraios	cause_of_death	assassination
francis_bacon_1909	location	dublin
robert_worth_bingham	location	london
gustavus_adolphus_henry_sr	gender	male
alfred_wilkinson_johnson	place_of_birth	philadelphia
ivo_caprino	gender	male
hans-georg_gadamer	place_of_birth	marburg
kim_philby	place_of_death	moscow
martin_hengel	gender	male
ethel_lilian_voynich	parents	george_boole
marjorie_merriweather_post	spouse	joseph_e_davies
ernst_wilhelm_nay	gender	male
nathan_marcus_adler	ethnicity	germans
david_greenaway_1889	gender	male
titus_de_bobula	place_of_birth	budapest
bernard_berenson	profession	writer
silas_c_swallow	location	harrisburg
ayn_rand	religion	judaism
donald_simpson_bell	place_of_birth	harrogate
philipp_lenard	location	bratislava
wladyslaw_zelenski	profession	organist
helen_vinson	nationality	united_states
marshall_mcluhan	profession	educator
edouard_vaillant	place_of_death	saint_mande
salem_poor	nationality	united_states
james_kewley_ward	nationality	canada
lemuel_p_grant	location	atlanta
johanna_of_bavaria_queen_of_bohemia	gender	female
leo_brewer	place_of_death	lafayette_california
ashley_day_leavitt	gender	male
nicholas_vansittart_1st_baron_bexley	place_of_birth	bloomsbury_london
william_winterbotham	location	london
prince_sigismund_of_prussia_kiel	parents	princess_irene_of_hesse_and_by_rhine
horst_wessel	gender	male
johann_von_lowenstern_kunckel	nationality	germany
elisha_p_ferry	nationality	united_states
angel_juarbe_jr	cause_of_death	murder
giovanni_battista_sammartini	gender	male
robert_simson	nationality	united_kingdom
frank_rosenfelt	place_of_death	los_angeles
matthew_shepard	location	casper
james_william_mcghee	location	colorado
alan_dargin	ethnicity	indigenous_australians
heinrich_mann	place_of_death	santa_monica_california
gobind_singh	gender	male
big_pun	location	the_bronx
lev_arnshtam	gender	male
robert_smithson	nationality	united_states
